id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14954105,Beach Cottage walking distance to beach,3452873,Shannon,,Pittwater,-33.630893505549814,151.33698307986302,Entire home/apt,350,4,5,2017-04-02,0.82,1,353
9252474,Home & tennis court: walk to beach,20582809,Megan,,Pittwater,-33.67268682807501,151.31460632841123,Entire home/apt,700,3,2,2017-02-15,0.14,19,299
13116763,Beachy studio with sea view,61035251,Adrian,,Pittwater,-33.6172832190592,151.3176430101738,Private room,125,1,11,2017-03-25,2.09,1,354
4326148,Beach House Retreat,17472993,Alison,,Pittwater,-33.618274042849244,151.3352282206264,Entire home/apt,275,7,11,2017-01-14,0.53,1,358
12920184,Palm Beach Beautiful Room Views Pool Ensuite Bath,66970711,Lynne,,Pittwater,-33.60926124612726,151.32823479605364,Private room,250,1,18,2017-03-11,1.67,4,353
11240203,Queen bedroom with own bathroom,50142518,Petah,,Pittwater,-33.64119076398983,151.32063171853636,Private room,73,1,1,2016-11-05,0.20,4,365
6364143,Homely Beach House,33161103,Siobhan,,Pittwater,-33.7073836934651,151.29177059132257,Entire home/apt,400,3,1,2016-03-31,0.08,1,363
1910165,Myola Beach Studio,9912170,Megan,,Pittwater,-33.65901896628609,151.32089451800903,Private room,160,1,63,2017-03-04,1.56,2,245
14951907,SeaPod - Beach Front Holiday Home,12252725,Richard,,Pittwater,-33.63899416727835,151.33192716872782,Entire home/apt,600,3,30,2017-04-01,4.79,1,233
12857112,Whale Beach -Dress Circle and spectacular views,70226564,Richard,,Pittwater,-33.61285102405748,151.3303154479006,Entire home/apt,558,5,2,2017-01-05,0.24,1,77
4589145,"Spacious Private Room, sunny views",23597108,Helen,,Pittwater,-33.66073141297763,151.3191363612607,Private room,125,1,8,2016-03-03,0.30,2,0
929559,Newport Beach - Great Ocean View,5004627,Ken,,Pittwater,-33.649606722576706,151.31622532742324,Entire home/apt,204,3,41,2017-03-19,0.84,2,338
9119318,Newport Gem,16357713,Don,,Pittwater,-33.6555797879236,151.30510806040672,Entire home/apt,627,7,0,,,52,171
10752795,Whaley- Contemporary Hotels,3046924,Contemporary Hotels + Beach Houses,,Pittwater,-33.60590747775855,151.33008439327236,Entire home/apt,1300,2,4,2017-02-16,0.29,34,231
11808615,Lake side studio with large balcony,30832546,Tiff,,Pittwater,-33.70657099322331,151.29596968344165,Entire home/apt,121,3,4,2017-03-20,2.73,1,151
9510074,Endless Summer Avalon NBH,30021442,Northern Beaches Holidays,,Pittwater,-33.62660092800738,151.33100729117015,Entire home/apt,901,14,0,,,34,0
10102438,'A Touch of Paradise',32038929,Katie,,Pittwater,-33.62674470710806,151.31716778581745,Entire home/apt,180,2,28,2017-03-25,1.85,1,339
7808710,Avalon Entertainer Beach or Pool - Holidaytime!!!,41106869,Sharon,,Pittwater,-33.6254306477991,151.32643090971436,Entire home/apt,570,2,5,2017-01-06,0.32,1,86
